"","Region","Market","Month","Year","Longitude","Latitude","Unmilled Maize Price Birr.KG","Milled Maize Price Birr.KG"
"200","AMHARa","Kemise","May","2019","39.85696873","10.71374234","10.34","-"
"201","AMHARa","Bati","May","2019","40.0181327","11.19153266","9.99","-"
"202","AMHARa","Mota","November","2018","37.8807432","11.07475582","7.00","-"
"203","AMHARa","Debre- markos ","November","2018","37.72636868","10.33641293","7.25","-"
"204","AMHARa","Dembecha","November","2018","37.48251554","10.56669266","6.61","-"
"205","AMHARa","Bahir- Dar ","November","2018","37.3815488","11.58416449","8.00","-"
"206","AMHARa","Sekota","November","2018","39.03355257","12.62479803","8.66","-"
"207","AMHARa","Amde Work ","November","2018","38.85815043","12.45920199","10.26","-"
"208","AMHARa","Danigla","November","2018","36.83153176","11.25223153","6.00","-"
"209","AMHARa","Chagni","November","2018","36.50793596","10.95196565","6.50","-"
"210","AMHARa","Kemise","November","2018","39.85696873","10.71374234","8.79","-"
"211","AMHARa","Bati","November","2018","40.0181327","11.19153266","8.26","-"
"212","AMHARa","Mota","October","2018","37.8807432","11.07475582","7.00","-"
"213","AMHARa","Debre- markos ","October","2018","37.72636868","10.33641293","7.55","-"
"214","AMHARa","Dembecha","October","2018","37.48251554","10.56669266","6.77","-"
"215","AMHARa","Bahir- Dar ","October","2018","37.3815488","11.58416449","8.00","-"
"216","AMHARa","Sekota","October","2018","39.03355257","12.62479803","8.59","-"
"217","AMHARa","Amde Work ","October","2018","38.85815043","12.45920199","10.21","-"
"218","AMHARa","Danigla","October","2018","36.83153176","11.25223153","6.50","-"
"219","AMHARa","Chagni","October","2018","36.50793596","10.95196565","6.40","-"
"220","AMHARa","Kemise","October","2018","39.85696873","10.71374234","8.69","-"
"221","AMHARa","Bati","October","2018","40.0181327","11.19153266","8.30","-"
"222","AMHARa","Mota","September","2018","37.8807432","11.07475582","7.00","-"
"223","AMHARa","Debre- markos ","September","2018","37.72636868","10.33641293","7.75","-"
"224","AMHARa","Dembecha","September","2018","37.48251554","10.56669266","6.42","-"
"225","AMHARa","Bahir- Dar ","September","2018","37.3815488","11.58416449","8.25","-"
"226","AMHARa","Sekota","September","2018","39.03355257","12.62479803","8.86","-"
"227","AMHARa","Amde Work ","September","2018","38.85815043","12.45920199","12.16","-"
"228","AMHARa","Danigla","September","2018","36.83153176","11.25223153","6.75","-"
"229","AMHARa","Chagni","September","2018","36.50793596","10.95196565","6.50","-"
"230","AMHARa","Kemise","September","2018","39.85696873","10.71374234","9.76","-"
"231","AMHARa","Bati","September","2018","40.0181327","11.19153266","8.14","-"
"232","GAMBELLA","Gambella","April","2019","34.58547076","8.249396585","10.00","12.00"
"233","GAMBELLA","Shebo- kire ","April","2019",NA,NA,"6.48","15.00"
"234","GAMBELLA","Meti","April","2019","7.233333333","35.31666667","7.00","8.00"
"235",NA,"Harari Town","April","2019","42.132193","9.309582","10.24","12.00"
"236","GAMBELLA","Gambella","August","2018","34.58547076","8.249396585","10.00","12.00"
